model_id,n_params,gpu_model,tdp_w,train_type,task,downloads,likes,source
sentence-transformers/all-MiniLM-L6-v2,1000000000.0,,,fine-tune,sentence-similarity,223586670,4928,huggingface
cross-encoder/ms-marco-MiniLM-L6-v2,,v100,300.0,pre-train,text-ranking,68646218,260,huggingface
google-bert/bert-base-uncased,110000000000.0,,,fine-tune,fill-mask,56596797,2679,huggingface
BAAI/bge-small-en-v1.5,7000000000.0,,,fine-tune,feature-extraction,51891207,485,huggingface
google/electra-base-discriminator,,,,pre-train,unknown,49708623,124,huggingface
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,,,pre-train,sentence-similarity,45549814,1264,huggingface
sentence-transformers/all-mpnet-base-v2,1000000000.0,,,fine-tune,sentence-similarity,31558490,1304,huggingface
BAAI/bge-m3,,,,pre-train,sentence-similarity,28406789,3098,huggingface
Qwen/Qwen3-0.6B,600000000.0,,,pre-train,text-generation,21649861,1310,huggingface
openai/clip-vit-base-patch32,100000000000.0,,,pre-train,zero-shot-image-classification,21000795,956,huggingface
FacebookAI/xlm-roberta-base,,,,fine-tune,fill-mask,19165431,844,huggingface
laion/clap-htsat-fused,,,,pre-train,audio-classification,18662307,103,huggingface
nomic-ai/nomic-embed-text-v1.5,5000000000.0,,,pre-train,sentence-similarity,17334518,845,huggingface
openai/clip-vit-large-patch14,100000000000.0,,,pre-train,zero-shot-image-classification,16384495,2034,huggingface
Qwen/Qwen3-4B,4000000000.0,,,pre-train,text-generation,15898513,632,huggingface
colbert-ir/colbertv2.0,,t4,70.0,pre-train,unknown,15706072,357,huggingface
BAAI/bge-reranker-v2-m3,2000000000.0,,,pre-train,text-classification,13950106,1028,huggingface
autogluon/chronos-2,120000000000.0,,,pre-train,time-series-forecasting,13875139,32,huggingface
BAAI/bge-large-en-v1.5,7000000000.0,,,fine-tune,feature-extraction,13725166,683,huggingface
FacebookAI/roberta-base,63000000.0,v100,300.0,fine-tune,fill-mask,13366741,613,huggingface
Qwen/Qwen2.5-3B-Instruct,72000000000.0,,,pre-train,text-generation,13355782,494,huggingface
hexgrad/Kokoro-82M,82000000.0,a100,400.0,unknown,text-to-speech,13198222,6297,huggingface
openai-community/gpt2,1500000000.0,,,fine-tune,text-generation,13173872,3294,huggingface
amazon/chronos-2,120000000000.0,,,pre-train,time-series-forecasting,12508825,317,huggingface
Bingsu/adetailer,8000000000.0,,,unknown,unknown,12428637,719,huggingface
FacebookAI/roberta-large,63000000.0,v100,300.0,fine-tune,fill-mask,11996173,300,huggingface
Qwen/Qwen2.5-7B-Instruct,72000000000.0,,,pre-train,text-generation,11890117,1345,huggingface
google/gemma-4-26B-A4B-it,26000000000.0,,,pre-train,image-text-to-text,11410793,1108,huggingface
Qwen/Qwen3-8B,8000000000.0,,,pre-train,text-generation,10950977,1127,huggingface
Qwen/Qwen2.5-1.5B-Instruct,72000000000.0,,,pre-train,text-generation,10622858,734,huggingface
facebook/opt-125m,175000000000.0,a100,400.0,fine-tune,text-generation,10311297,265,huggingface
google/gemma-4-31B-it,31000000000.0,,,pre-train,image-text-to-text,10131972,2956,huggingface
autogluon/chronos-bolt-small,100000000000.0,,,pre-train,time-series-forecasting,10057922,43,huggingface
meta-llama/Llama-3.1-8B-Instruct,8000000000.0,h100,700.0,pre-train,text-generation,10031112,6040,huggingface
distilbert/distilbert-base-uncased,,v100,300.0,fine-tune,fill-mask,9281315,893,huggingface
Qwen/Qwen3.5-4B,4000000000.0,,,unknown,image-text-to-text,9133454,622,huggingface
coqui/XTTS-v2,7000000000.0,,,unknown,text-to-speech,9034852,3587,huggingface
lpiccinelli/unidepth-v2-vitl14,,,,unknown,unknown,8920117,32,huggingface
Qwen/Qwen3.5-9B,9000000000.0,,,unknown,image-text-to-text,8856074,1547,huggingface
Qwen/Qwen3-Embedding-0.6B,600000000.0,,,pre-train,feature-extraction,8593433,1058,huggingface
intfloat/multilingual-e5-small,67000000000.0,,,pre-train,sentence-similarity,8423286,335,huggingface
BAAI/bge-base-en-v1.5,7000000000.0,,,fine-tune,feature-extraction,8344614,436,huggingface
argmaxinc/whisperkit-coreml,,,,unknown,automatic-speech-recognition,8333235,189,huggingface
pyannote/speaker-diarization-3.1,,,,pre-train,automatic-speech-recognition,8053559,2236,huggingface
openai/whisper-large-v3-turbo,5000000000.0,,,fine-tune,automatic-speech-recognition,7948390,3074,huggingface
Falconsai/nsfw_image_detection,,,,fine-tune,image-classification,7886732,1094,huggingface
google/gemma-3-270m,4000000000.0,,,pre-train,text-generation,7812709,1032,huggingface
Qwen/Qwen3-VL-8B-Instruct,8000000000.0,,,pre-train,image-text-to-text,7690985,946,huggingface
pyannote/wespeaker-voxceleb-resnet34-LM,,,,pre-train,unknown,7591328,145,huggingface
meta-llama/Llama-3.2-1B-Instruct,1000000000.0,h100,700.0,pre-train,text-generation,7481230,1469,huggingface
facebook/contriever,,,,pre-train,unknown,6940305,90,huggingface
intfloat/multilingual-e5-large,1000000000.0,,,pre-train,feature-extraction,6830762,1203,huggingface
pyannote/segmentation-3.0,,,,pre-train,voice-activity-detection,6828506,1123,huggingface
openai/gpt-oss-20b,20000000000.0,h100,700.0,fine-tune,text-generation,6752540,4693,huggingface
ProsusAI/finbert,,,,pre-train,text-classification,6650097,1176,huggingface
Qwen/Qwen3.6-27B-FP8,27000000000.0,,,unknown,image-text-to-text,6613771,260,huggingface
deepseek-ai/DeepSeek-R1-0528,8000000000.0,,,unknown,text-generation,6413732,2450,huggingface
FacebookAI/xlm-roberta-large,,,,fine-tune,fill-mask,6354408,518,huggingface
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,,,pre-train,sentence-similarity,6260866,463,huggingface
Qwen/Qwen2.5-VL-7B-Instruct,72000000000.0,,,pre-train,image-text-to-text,6232090,1568,huggingface
google/gemma-4-E4B-it,4000000000.0,,,pre-train,any-to-any,5794628,1222,huggingface
google-bert/bert-large-uncased,336000000000.0,,,fine-tune,fill-mask,5637640,147,huggingface
sentence-transformers/all-MiniLM-L12-v2,1000000000.0,,,fine-tune,sentence-similarity,5532800,315,huggingface
intfloat/multilingual-e5-base,1000000000.0,,,pre-train,sentence-similarity,5479347,362,huggingface
deepseek-ai/DeepSeek-R1,32000000000.0,,,fine-tune,text-generation,5348466,13380,huggingface
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,,,,unknown,text-generation,5279637,7,huggingface
Qwen/Qwen3.6-27B,27000000000.0,,,unknown,image-text-to-text,5269289,1659,huggingface
Qwen/Qwen3.6-35B-A3B,35000000000.0,,,unknown,image-text-to-text,5261924,2057,huggingface
timm/mobilenetv3_small_100.lamb_in1k,,,,pre-train,image-classification,5247377,77,huggingface
Qwen/Qwen3.6-35B-A3B-FP8,35000000000.0,,,unknown,image-text-to-text,5115522,258,huggingface
nomic-ai/nomic-embed-text-v1,5000000000.0,,,pre-train,sentence-similarity,5018982,573,huggingface
openai/whisper-large-v3,1000000.0,,,fine-tune,automatic-speech-recognition,4969972,5800,huggingface
Qwen/Qwen2.5-VL-3B-Instruct,72000000000.0,,,pre-train,image-text-to-text,4909186,655,huggingface
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,,,,unknown,unknown,4828210,734,huggingface
mixedbread-ai/mxbai-embed-large-v1,7000000000.0,l4,72.0,pre-train,feature-extraction,4752072,808,huggingface
google/vit-base-patch16-224,14000000.0,,,fine-tune,image-classification,4634493,969,huggingface
cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit,26000000000.0,,,pre-train,image-text-to-text,4502927,78,huggingface
Qwen/Qwen3-1.7B,1700000000.0,,,pre-train,text-generation,4452758,481,huggingface
dphn/dolphin-2.9.1-yi-1.5-34b,34000000000.0,h100,700.0,fine-tune,text-generation,4364366,64,huggingface
Qwen/Qwen3-4B-Instruct-2507,4000000000.0,,,pre-train,text-generation,4349929,876,huggingface
dima806/fairface_age_image_detection,,,,unknown,image-classification,4328216,74,huggingface
deepseek-ai/DeepSeek-V4-Pro,49000000000.0,,,pre-train,text-generation,4302553,4750,huggingface
openai/whisper-base,39000000000.0,,,fine-tune,automatic-speech-recognition,4296963,271,huggingface
Qwen/Qwen2.5-0.5B-Instruct,72000000000.0,,,pre-train,text-generation,4037952,529,huggingface
facebook/esm2_t33_650M_UR50D,15000000000.0,t4,70.0,unknown,fill-mask,4036193,80,huggingface
openai/gpt-oss-120b,120000000000.0,h100,700.0,fine-tune,text-generation,4012993,4867,huggingface
facebook/w2v-bert-2.0,4500000000.0,,,pre-train,feature-extraction,3966941,217,huggingface
distilbert/distilgpt2,124000000.0,v100,300.0,pre-train,text-generation,3921317,630,huggingface
hmellor/tiny-random-LlamaForCausalLM,,,,fine-tune,text-generation,3898572,0,huggingface
sentence-transformers/paraphrase-MiniLM-L6-v2,,,,pre-train,sentence-similarity,3891023,148,huggingface
Qwen/Qwen3-VL-4B-Instruct,4000000000.0,,,pre-train,image-text-to-text,3769866,394,huggingface
answerdotai/ModernBERT-base,149000000.0,h100,700.0,fine-tune,fill-mask,3769832,1050,huggingface
BAAI/bge-small-zh-v1.5,,,,fine-tune,feature-extraction,3751554,116,huggingface
google-bert/bert-base-multilingual-uncased,,,,fine-tune,fill-mask,3745579,157,huggingface
zai-org/GLM-OCR,500000000.0,,,pre-train,image-text-to-text,3744657,1818,huggingface
Qwen/Qwen2-1.5B-Instruct,72000000000.0,,,pre-train,text-generation,3724008,162,huggingface
deepseek-ai/DeepSeek-V3.2,,,,pre-train,text-generation,3686424,1446,huggingface
BAAI/bge-reranker-base,7000000000.0,,,fine-tune,text-classification,3678119,236,huggingface
